,Latitude,Longitude,Airport,Water,Building,Green_Space,Railway_Station,Urban_Area,Distance_Nearest_Greenspace,Value_co,Value_no2,Value_o3,Value_so2,Value_ai,AQ_score,Pop_density,Greenspace_score,penalty_reward
0,51.73718391144484,-0.6206426520917254,0,0,0,1,0,0,0.2500281054115366,0.7642642919097256,0.0040882456303035,7.248995523484026,0.032141284175601,-1.0311493897293562,0.3607766677562217,1.4450608491897583,0.10028383525033176,0.5
1,51.73718385551484,-0.6170120832367011,0,0,0,0,0,0,0.2829914306556509,0.7643043729314727,0.0041403160540976,7.250455632963186,0.0321476189766663,-1.0354859800591054,0.3617214725289006,1.4450608491897583,0.25782805280130205,1.25
2,51.73718368772482,-0.6133815143996508,0,0,1,1,0,0,0.2027301521684738,0.7643498647670257,0.0041433833062908,7.250998405812175,0.0321861581667946,-1.037714053795887,0.361821691775531,1.4450608491897583,0.0725247912347538,0.375
3,51.737183408074806,-0.6097509455985487,0,0,1,1,0,0,0.1666664364571778,0.7646239104847389,0.0041415775314405,7.251658758223978,0.0320874742724583,-1.0359783566542065,0.3620648557754675,3.5179698467254634,0.10298796517181842,0.375
4,51.73718301656479,-0.6061203768513687,0,0,0,1,0,0,0.1666664364571786,0.7642876048744289,0.0041419151355628,7.252278907408284,0.0319581163596108,-1.039697031477247,0.3611398277094706,3.517969846725464,0.13713665026969118,0.5
5,51.73718251319477,-0.6024898081760847,0,0,0,1,0,0,0.1666664364571778,0.764357000024582,0.0041426381084124,7.254154530315173,0.0317933183947601,-1.0454969103540508,0.360579208682956,14.000854492187498,0.3568568483692668,0.5
6,51.73718189796477,-0.5988592395906709,0,0,0,1,0,0,0.1666664364571799,0.7643941846698301,0.0041445860205223,7.255137830677508,0.0316540413126529,-1.0513216222010555,0.3599579360053046,10.6057710647583,0.2855394682493246,0.5
7,51.73718117087476,-0.5952286711131012,0,0,1,1,0,0,0.1666941277134026,0.7644799561506969,0.0041482823405018,7.254384994534546,0.031527033000692,-1.0541930577935628,0.3594777813649651,2.9931154251098637,0.09435652531317985,0.375
8,51.73718033192479,-0.5915981027613497,0,0,1,0,0,0,0.2500272369334906,0.7648084764649199,0.0041540805329968,7.25344352136595,0.0314332154130014,-1.052099698815272,0.3597752718320467,2.9931154251098637,0.2528569581925126,0.9375
9,51.73717938111482,-0.5879675345533903,0,0,1,1,0,0,0.1666939095674339,0.7649773192880849,0.0041623045555947,7.249073555575903,0.0313190831537195,-1.054443158585196,0.359100215399955,2.9931154251098637,0.09430120893108206,0.375
