,Latitude,Longitude,Airport,Water,Building,Green_Space,Railway_Station,Urban_Area,Distance_Nearest_Greenspace,Value_co,Value_no2,Value_o3,Value_so2,Value_ai,AQ_score,Pop_density,norm_Pop_density
0,51.73718391144484,-0.6206426520917254,0,0,0,1,0,0,0.2500281054115366,0.7642642919097256,0.0040882456303035246,7.248995523484026,0.03214128417560101,-1.0311493897293562,0.36077666775622175,1.4450608491897583,0.059642811498395995
1,51.73718385551484,-0.6170120832367011,0,0,0,0,0,0,0.28299143065565097,0.7643043729314727,0.004140316054097644,7.250455632963186,0.032147618976666334,-1.0354859800591054,0.3617214725289006,1.4450608491897583,0.059642811498395995
2,51.73718368772482,-0.6133815143996508,0,0,1,1,0,0,0.20273015216847382,0.7643498647670257,0.004143383306290822,7.250998405812175,0.03218615816679462,-1.037714053795887,0.36182169177553103,1.4450608491897583,0.059642811498395995
3,51.737183408074806,-0.6097509455985487,0,0,1,1,0,0,0.1666664364571778,0.7646239104847389,0.004141577531440571,7.251658758223978,0.032087474272458304,-1.0359783566542065,0.36206485577546754,3.5179698467254634,0.17166163381759048
4,51.73718301656479,-0.6061203768513687,0,0,0,1,0,0,0.16666643645717866,0.7642876048744289,0.004141915135562808,7.252278907408284,0.031958116359610864,-1.0396970314772467,0.3611398277094706,3.517969846725464,0.1716616338175905
5,51.73718251319477,-0.6024898081760847,0,0,0,1,0,0,0.16666643645717782,0.764357000024582,0.0041426381084124705,7.254154530315173,0.03179331839476016,-1.0454969103540508,0.36057920868295606,14.000854492187498,0.7381507531608033
6,51.73718189796477,-0.5988592395906709,0,0,0,1,0,0,0.1666664364571799,0.7643941846698301,0.004144586020522306,7.2551378306775085,0.03165404131265293,-1.0513216222010557,0.3599579360053046,10.6057710647583,0.5546823772368465
7,51.73718117087476,-0.5952286711131012,0,0,1,1,0,0,0.1666941277134026,0.7644799561506969,0.004148282340501811,7.254384994534546,0.03152703300069207,-1.0541930577935628,0.3594777813649651,2.9931154251098633,0.14329879962260367
8,51.73718033192479,-0.5915981027613497,0,0,1,0,0,0,0.2500272369334906,0.7648084764649199,0.004154080532996878,7.25344352136595,0.03143321541300145,-1.052099698815272,0.3597752718320467,2.9931154251098633,0.14329879962260367
9,51.73717938111482,-0.5879675345533903,0,0,1,1,0,0,0.16669390956743393,0.7649773192880849,0.004162304555594783,7.249073555575903,0.03131908315371959,-1.054443158585196,0.35910021539995507,2.9931154251098633,0.14329879962260367
